Home,Away,Miles,,,,,,
Portsmouth,Huddersfield,248,,,,,,
Portsmouth,Sheffield United,218,,,,,,
Portsmouth,Leeds,252,,,,,,
Wolves,Birmingham,18.7,,,,,,
Wolves,Burnley,108,,,,,,
Wolves,Blackpool,114,,,,,,
Wolves,QPR,132,,,,,,
Wolves,Swansea,153,,,,,,
Wolves,Norwich,174,,,,,,
Wolves,Reading,130,,,,,,
Wolves,Southampton,156,,,,,,
Wolves,Crystal Palace,159,,,,,,
Wolves,Cardiff,120,,,,,,
Wolves,Leicester,54.7,,,,,,
Wolves,Bournemouth,180,,,,,,
Wolves,Watford,115,,,,,,
Wolves,Brighton,190,,,,,,
Wolves,Huddersfield,109,,,,,,
Wolves,Sheffield United,81.2,,,,,,
Wolves,Leeds,116,,,,,,
Birmingham,Burnley,125,,,,,,
Birmingham,Blackpool,135,,,,,,
Birmingham,QPR,113,,,,,,
Birmingham,Swansea,148,,,,,,
Birmingham,Norwich,163,,,,,,
Birmingham,Reading,109,,,,,,
Birmingham,Southampton,135,,,,,,
Birmingham,Crystal Palace,138,,,,,,
Birmingham,Cardiff,110,,,,,,
Birmingham,Leicester,43.6,,,,,,
Birmingham,Bournemouth,160,,,,,,
Birmingham,Watford,104,,,,,,
Birmingham,Brighton,169,,,,,,
Birmingham,Huddersfield,110,,,,,,
Birmingham,Sheffield United,79.5,,,,,,
Birmingham,Leeds,114,,,,,,
Burnley,Blackpool,38.4,,,,,,
Burnley,QPR,230,,,,,,
Burnley,Swansea,264,,,,,,
Burnley,Norwich,229,,,,,,
Burnley,Reading,236,,,,,,
Burnley,Southampton,262,,,,,,
Burnley,Crystal Palace,265,,,,,,
Burnley,Cardiff,226,,,,,,
Burnley,Leicester,145,,,,,,
Burnley,Bournemouth,287,,,,,,
Burnley,Watford,216,,,,,,
Burnley,Brighton,296,,,,,,
Burnley,Huddersfield,25.4,,,,,,
Burnley,Sheffield United,66.4,,,,,,
Burnley,Leeds,58.1,,,,,,
Blackpool,QPR,238,,,,,,
Blackpool,Swansea,266,,,,,,
Blackpool,Norwich,254,,,,,,
Blackpool,Reading,238,,,,,,
Blackpool,Southampton,264,,,,,,
Blackpool,Crystal Palace,268,,,,,,
Blackpool,Cardiff,228,,,,,,
Blackpool,Leicester,148,,,,,,
Blackpool,Bournemouth,289,,,,,,
Blackpool,Watford,224,,,,,,
Blackpool,Brighton,298,,,,,,
Blackpool,Huddersfield,71.4,,,,,,
Blackpool,Sheffield United,91.3,,,,,,
Blackpool,Leeds,82.9,,,,,,
QPR,Swansea,185,,,,,,
QPR,Norwich,126,,,,,,
QPR,Reading,37.8,,,,,,
QPR,Southampton,76.1,,,,,,
QPR,Crystal Palace,12.2,,,,,,
QPR,Cardiff,148,,,,,,
QPR,Leicester,101,,,,,,
QPR,Bournemouth,107,,,,,,
QPR,Watford,18.9,,,,,,
QPR,Brighton,72,,,,,,
QPR,Huddersfield,190,,,,,,
QPR,Sheffield United,160,,,,,,
QPR,Leeds,194,,,,,,
Swansea,Norwich,306,,,,,,
Swansea,Reading,150,,,,,,
Swansea,Southampton,158,,,,,,
Swansea,Crystal Palace,199,,,,,,
Swansea,Cardiff,43.4,,,,,,
Swansea,Leicester,182,,,,,,
Swansea,Bournemouth,156,,,,,,
Swansea,Watford,189,,,,,,
Swansea,Brighton,230,,,,,,
Swansea,Huddersfield,261,,,,,,
Swansea,Sheffield United,238,,,,,,
Swansea,Leeds,272,,,,,,
Norwich,Reading,156,,,,,,
Norwich,Southampton,205,,,,,,
Norwich,Crystal Palace,126,,,,,,
Norwich,Cardiff,268,,,,,,
Norwich,Leicester,122,,,,,,
Norwich,Bournemouth,229,,,,,,
Norwich,Watford,117,,,,,,
Norwich,Brighton,172,,,,,,
Norwich,Huddersfield,187,,,,,,
Norwich,Sheffield United,160,,,,,,
Norwich,Leeds,176,,,,,,
Reading,Southampton,45.5,,,,,,
Reading,Crystal Palace,51.3,,,,,,
Reading,Cardiff,112,,,,,,
Reading,Leicester,116,,,,,,
Reading,Bournemouth,70.4,,,,,,
Reading,Watford,41.7,,,,,,
Reading,Brighton,82.3,,,,,,
Reading,Huddersfield,205,,,,,,
Reading,Sheffield United,174,,,,,,
Reading,Leeds,209,,,,,,
Southampton,Crystal Palace,83.5,,,,,,
Southampton,Cardiff,136,,,,,,
Southampton,Leicester,141,,,,,,
Southampton,Bournemouth,31.1,,,,,,
Southampton,Watford,80,,,,,,
Southampton,Brighton,65.3,,,,,,
Southampton,Huddersfield,230,,,,,,
Southampton,Sheffield United,200,,,,,,
Southampton,Leeds,234,,,,,,
Crystal Palace,Cardiff,169,,,,,,
Crystal Palace,Leicester,113,,,,,,
Crystal Palace,Bournemouth,102,,,,,,
Crystal Palace,Watford,32.7,,,,,,
Crystal Palace,Brighton,46.1,,,,,,
Crystal Palace,Huddersfield,226,,,,,,
Crystal Palace,Sheffield United,199,,,,,,
Crystal Palace,Leeds,215,,,,,,
Cardiff,Leicester,144,,,,,,
Cardiff,Bournemouth,119,,,,,,
Cardiff,Watford,152,,,,,,
Cardiff,Brighton,193,,,,,,
Cardiff,Huddersfield,231,,,,,,
Cardiff,Sheffield United,200,,,,,,
Cardiff,Leeds,235,,,,,,
Leicester,Bournemouth,166,,,,,,
Leicester,Watford,85.5,,,,,,
Leicester,Brighton,164,,,,,,
Leicester,Huddersfield,96.1,,,,,,
Leicester,Sheffield United,65.7,,,,,,
Leicester,Leeds,100,,,,,,
Bournemouth,Watford,106,,,,,,
Bournemouth,Brighton,97.4,,,,,,
Bournemouth,Huddersfield,256,,,,,,
Bournemouth,Sheffield United,225,,,,,,
Bournemouth,Leeds,260,,,,,,
Watford,Brighton,81.8,,,,,,
Watford,Huddersfield,175,,,,,,
Watford,Sheffield United,144,,,,,,
Watford,Leeds,179,,,,,,
Brighton,Huddersfield,253,,,,,,
Brighton,Sheffield United,222,,,,,,
Brighton,Leeds,257,,,,,,
Huddersfield,Sheffield United,28.1,,,,,,
Huddersfield,Leeds,13.7,,,,,,
Sheffield United,Leeds,37.9,,,,,,
